PRODUCT_ID,SELLER_ID,CATEGORY_ID,NAME,REP_PRICE,REP_DISCOUNTED_PRICE,IS_DISCOUNTED,DISCOUNT_RATE,DELIVERY_FEE,DELIVERY_TYPE,REF_PRICE,OPTION_TYPE,OPTION1_SET_ID,OPTION2_SET_ID,REG_TIME,HITS,SALES,SCRAPS,REVIEWS
1,1,10000,가구상품,20000,10000,Y,50,3000,over,50000,0,1,,2024-04-14,5,0,0,2
2,1,10104,[단독] (택배빠른배송) 소울 메이트 라운드 크롬 원형 식탁 테이블 (800/1000),"74,900",37450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
3,1,10104,"쿠폰가 101,370/편안한 제주 25cm 필로우탑 본넬스프링 침대 매트리스S/SS/Q/K","109,000",54500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
4,1,10104,"[리뷰 26,000개] 베가 폴라 투명 접이식의자 17colors 대량구매추가할인","22,900",11450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
5,1,10104,침대 프레임 매트리스 깔판 저상형 패밀리 받침대 미니싱글 600,"19,500",9750,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
6,1,10104,사이즈 맞춤제작 몬스터랙 조립식 앵글 모듈 공간활용 수납선반 팬트리,"19,900",9950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
7,1,10104,[단독] (택배빠른배송) 소울 메이트 라운드 크롬 원형 식탁 테이블 (800/1000),"74,900",37450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
8,1,10104,"쿠폰가 101,370/편안한 제주 25cm 필로우탑 본넬스프링 침대 매트리스S/SS/Q/K","109,000",54500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
9,1,10104,"[리뷰 26,000개] 베가 폴라 투명 접이식의자 17colors 대량구매추가할인","22,900",11450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
10,1,10104,침대 프레임 매트리스 깔판 저상형 패밀리 받침대 미니싱글 600,"19,500",9750,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
11,1,10104,사이즈 맞춤제작 몬스터랙 조립식 앵글 모듈 공간활용 수납선반 팬트리,"19,900",9950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
12,1,10104,쿠폰+무료내림ㅣ허리엔 더매직 허리특화 포켓스프링 매트리스 S/SS/Q/K/SK,"229,000",114500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
13,1,10104,[단독] 뮤즈 편한 팔걸이 컴퓨터 메쉬 사무용 책상 의자,"47,900",23950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
14,1,10104,[단독특가] 9존 인생 매트리스 토퍼 3colors,"31,900",15950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
15,1,10104,콰트로 데스크 시리즈 19size 8colors (800~2000mm),"82,000",41000,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
16,1,10104,[5%쿠폰] 블랑 좌식 접이식 상 거실테이블 3size(보호캡 증정),"17,900",8950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
17,1,10104,"[쿠폰가 97,200원] 허리가 편안한 호텔식 숙면 포켓스프링 필로우탑 매트리스(25cm)","108,000",54000,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
18,1,10104,[단독] (택배빠른배송) 소울 메이트 라운드 크롬 원형 식탁 테이블 (800/1000),"74,900",37450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
19,1,10104,콰트로 에어 데스크 20size 5colors,"135,000",67500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
20,1,10104,[5%쿠폰][New컬러출시] 애슐리 원목 전신거울 7colors,"33,900",16950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
21,1,10104,[당일출고] 노프레임 비정형 웨이브 전신거울 A-4 + 원목/실버 받침대 선택,"49,900",24950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
22,1,10104,"[쿠폰가 41,565원] CLEAR 강화유리 거실테이블/타원형 소파테이블","48,900",24450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
23,1,10104,한샘몰pick티렌토 리세 아쿠아텍스 3인용 패브릭 소파 3colors,"282,900",141450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
24,1,10104,[오늘의딜] [신규컬러] NEW핑크 버터컬러 올리브 서브 테이블,"37,900",18950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
25,1,10104,한샘몰pick 눕 데일리 구스 아쿠아텍스 패브릭 모듈 소파 4인용 4colors,"724,900",362450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
26,1,10104,[오늘의집단독] NEW 컬러 추가 / 원조 어메이징 원목 침대 매트리스 깔판,"8,900",4450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
27,1,10104,엘리 아치형 라운드 스탠드 전신거울 400/600 2size,"69,000",34500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
28,1,10104,국내유일 304스텐 슬림 미드센츄리모던 트롤리 2size(3단/4단),"37,800",18900,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
29,1,10104,Q4 유로탑 롤팩 매트리스 2size,"299,900",149950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
30,1,10104,[단독] NEW컬러 맞춤제작 블라인드 시스템 드레스룸,"8,100",4050,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
31,1,10104,캐더린 LED조명 통서랍 수납침대 SSQ(매트리스 선택),"189,000",94500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
32,1,10104,"[5% 쿠폰] 허리 디스크 환자가 만든 코어 릴랙스 매트리스 S,SS,Q,K","299,000",149500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
33,1,10104,[단독] (택배빠른배송) 소울 메이트 라운드 크롬 원형 식탁 테이블 (800/1000),"74,900",37450,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
34,1,10104,캐더린 LED조명 통서랍 수납침대 SSQ(매트리스 선택),"189,000",94500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
35,1,10104,"[5% 쿠폰] 허리 디스크 환자가 만든 코어 릴랙스 매트리스 S,SS,Q,K","299,000",149500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
36,1,10104,[5%쿠폰] POL 아쿠아텍스 3인소파 2colors(스툴무료증정),"189,000",94500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
37,1,10104,[무료배송] (국내생산) 데이지 LED조명 3단 벙커 수납 서랍 침대 SS/Q,"239,000",119500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
38,1,10104,플레인 E0 키높은 수납장 1200 4colors,"129,900",64950,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
39,1,10104,카페 방수패브릭 접이식 소파베드 4colors,"119,000",59500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
40,1,10104,"쿠폰가 204,000원/클레어 LED 2단 수납침대+매트선택 (SS/Q) 4colors","219,000",109500,Y,50,3000,over,50000,0,1,,2024-04-14,0,0,0,0
